,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.25
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.5
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.75
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.75
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,1.0
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.1
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.25
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.5
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.75
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.75
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,1.0
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,1.0
